date,co,no,no2,o3,so2,pm2_5,pm10,nh3,Net_AQI
26-11-2020 20:00,0.050175864,0.001637773,0.110794583,0.011721529,0.037331616,0.046089632,0.050254238,0.034332974,109.1791275
26-11-2020 21:00,0.041866439,0.000359511,0.094271815,0.022544283,0.039002402,0.041385165,0.043752494,0.033012475,172.792069
26-11-2020 22:00,0.034196606,5.99E-05,0.077749047,0.038834588,0.042309165,0.03845519,0.039378779,0.031240227,155.8255172
26-11-2020 23:00,0.030361451,2.00E-05,0.066485515,0.048658703,0.040238087,0.036120642,0.036498777,0.029919728,142.3068966
27-11-2020 00:00,0.030361451,2.00E-05,0.064228426,0.048658703,0.039820391,0.034982845,0.035265953,0.029919728,135.7182759
27-11-2020 01:00,0.038670875,0.000299593,0.079239164,0.03571384,0.047286714,0.038808909,0.040130751,0.036105223,157.8737931
27-11-2020 02:00,0.05656795,0.005292802,0.1122847,0.012495475,0.061401371,0.048365227,0.05223392,0.051951211,210.7975862
27-11-2020 03:00,0.067433825,0.030798115,0.107792435,0.014180679,0.073027255,0.052368151,0.058203657,0.062515203,233.9772414
27-11-2020 04:00,0.069351164,0.046876248,0.094271815,0.029909249,0.08630652,0.053122752,0.059937796,0.072175696,238.3468966
27-11-2020 05:00,0.066794713,0.044639291,0.091269667,0.047323022,0.098750392,0.053435205,0.060914848,0.081870939,240.1562069
27-11-2020 06:00,0.057207063,0.03393385,0.089757637,0.072326455,0.107052108,0.049744733,0.05605005,0.077457692,218.7858621
27-11-2020 07:00,0.032917902,0.016737237,0.063461454,0.111610431,0.08630652,0.031369012,0.034646982,0.050630712,114.7917241
27-11-2020 08:00,0.026526295,0.011504354,0.054455012,0.13393002,0.074680636,0.028521571,0.03075412,0.045348716,110.2941791
27-11-2020 09:00,0.026526295,0.009367261,0.057457159,0.146425495,0.076334018,0.032324054,0.034171245,0.048858463,125.0850746
27-11-2020 10:00,0.042505552,0.011044979,0.091269667,0.13393002,0.082982352,0.043018169,0.046182335,0.06602495,182.2482759
27-11-2020 11:00,0.066794713,0.01126468,0.149844414,0.093747269,0.084635734,0.055410138,0.060981349,0.085380686,251.5924138
27-11-2020 12:00,0.087248239,0.003375409,0.218937634,0.037948295,0.079658185,0.062714442,0.06969297,0.100357925,293.8893103
27-11-2020 13:00,0.102588862,0.00535272,0.236950519,0.008812992,0.078004804,0.072978199,0.081212977,0.11971366,312.22
27-11-2020 14:00,0.107702243,0.004354078,0.212933339,0.009936462,0.077169411,0.084090882,0.093950462,0.137331897,326.6862791
27-11-2020 15:00,0.101310636,0.000798913,0.18137792,0.02365527,0.07053848,0.089367196,0.099485385,0.142613893,333.5548837
27-11-2020 16:00,0.09747548,0.000159783,0.158850857,0.033479384,0.064725539,0.092745216,0.10240631,0.13382215,337.9523256
27-11-2020 17:00,0.100031932,0.000259647,0.155848709,0.029909249,0.061401371,0.098717178,0.108539742,0.114431664,345.7265116
27-11-2020 18:00,0.092362099,0.000339538,0.148332384,0.027237888,0.050610881,0.096058387,0.104329722,0.081002189,342.2653488
